statement,label
There is a direct debit payment on my account that I didn't authorize.,1
What should I do if I don't know my password?,0
is apple pay a top up service?,1
I am very upset that i went to use my new card today and it kept getting declined. Why is this happening and what do I do to not have it declined?,1
Where are the cards delivered to,0
Can you tell me how to locate my PIN?,1
When will you be taking orders for disposable virtual cards?,1
Can someone assist me by explaining why my card is not working?,1
Where do my fund come from?,0
Can you give me the restrictions of the disposable cards?,1
