feature_number,label
27,
333,Stock market trading and volatility
154,
262,"* <<The S&P 500 index closed at 4,200 points, up"
83,"* 4.923: Stock market performance (specifically, the S&P 500 index)"
171,
53,* Bitcoin's price volatility: Cryptocurrency market capitalization * Housing market:
350,
372,
4,
367,Stock market trading and volatility
224,"Closed at 4,200 points (represents stock market trading and volatility)"
22,
389,* <<The consumer price index (CPI) rose 0.3% month-over-month in
304,"Closed at 4,200 points (represents stock market trading and volatility)"
181,
199,"Closed at 4,200 points (represents stock market trading and volatility)"
375,Stock market trading and volatility
198,
159,Stock market trading and volatility
131,"s net interest margin) * 7.334: Earnings performance (specifically, the"
328,
311,
172,
78,
339,
280,Stock market trading and volatility
242,Stock market trading and volatility
151,
115,
